종목명,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
CS홀딩스,서비스업,2011,188753459000.0,15.95,86.25,30.53,2.8252153338224506,0.39,2.0,3.0,2.0,2.0,0.0
KISCO홀딩스,서비스업,2011,779731867000.0,14.21,87.56,5.37,2.9343513823939618,0.325,2.0,4.0,2.0,2.0,2753000.0
LG이노텍,전기전자,2011,4409966704000.0,232.87,30.04,10.95,0.0675564640782469,1.7599999999999998,5.0,4.0,5.0,5.0,0.0
MH에탄올,음식료품,2011,134206851000.0,214.54,31.79,-18.64,0.0041386812322077,0.36,2.0,3.0,2.0,2.5,0.0
OCI,화학,2011,7205013146000.0,93.68,51.63,28.71,0.4032830914326689,3.0250000000000004,5.0,5.0,5.0,5.0,52469000.0
SH에너지화학,화학,2011,104710740000.0,60.5,62.31,14.99,0.0337198022610316,0.575,2.5,2.0,2.5,2.0,0.0
SIMPAC,기계,2011,310879328000.0,84.02,54.34,18.47,0.0861609076626704,1.16,2.5,2.0,2.5,2.0,2702000.0
SK이노베이션,서비스업,2011,35026880858000.0,136.16,42.34,27.27,1.783559105678325,1.57,5.0,6.0,5.0,2.0,261001000.0
STX,유통업,2011,5234175000000.0,173.19,36.6,47.5,0.0133706426683107,1.265,4.0,4.0,4.0,4.0,14671000.0
STX엔진,기계,2011,3513992968000.0,243.28,29.13,9.1,-0.07843057369583,1.0,5.0,3.0,5.0,5.0,7169000.0
가온전선,전기전자,2011,509900791000.0,96.1,51.0,31.52,-0.0190032838003379,0.315,2.0,3.0,2.0,2.5,1964000.0
강원랜드,서비스업,2011,2711401782000.0,20.11,83.25,-3.66,0.3306512312339403,2.81,2.5,4.0,2.5,2.0,184734000.0
경농,화학,2011,173774102000.0,21.53,82.28,0.0,0.1173129928434166,0.535,2.5,3.0,2.5,2.5,1468000.0
경동나비엔,전기전자,2011,263211016000.0,56.57,63.87,11.09,0.0486812853278201,1.805,2.5,3.0,2.5,2.5,1247000.0
경방,섬유의복,2011,1352324332000.0,114.76,46.56,2.59,-0.0531189750024478,0.355,2.5,3.0,2.5,2.0,0.0
경인양행,화학,2011,319596954000.0,81.29,55.16,-12.89,0.0764495835534698,0.755,2.5,3.0,2.5,2.5,1845000.0
경인전자,전기전자,2011,63394446000.0,14.26,87.52,0.0,0.2503898173939957,0.4499999999999999,2.0,3.0,2.0,2.0,698000.0
계양전기,기계,2011,170610595000.0,23.1,81.24,21.23,0.0124456161713457,0.81,2.5,3.0,2.5,2.0,1637000.0
고려산업,음식료품,2011,124894379000.0,122.77,44.89,0.0,0.0251808742396378,0.36,2.5,2.0,2.5,2.0,724000.0
고려아연,철강금속,2011,4606179546000.0,31.21,76.21,44.77,0.1871966933206411,2.135,2.5,4.0,2.5,2.5,88371000.0
고려제강,철강금속,2011,1823262406000.0,43.36,69.75,8.42,0.1946679124856562,0.635,2.5,2.0,2.5,2.0,4549000.0
광동제약,의약품,2011,321682097000.0,28.92,77.57,8.39,0.0883483161130315,0.72,2.5,2.0,2.5,2.5,2132000.0
광명전기,전기전자,2011,123886511000.0,96.84,50.8,-10.75,0.0304547853988407,2.105,2.0,3.0,2.0,2.5,0.0
